id011,0,0,5,2,0,0,6,6,0,0,7,6,0,0,8,2,0,2,4,8,0,2,5,27,0,2,6,8,0,2,7,15,0,2,8,6,1,0,4,2,1,0,5,8,1,0,6,9,1,0,7,7,1,0,8,9,1,2,3,1,1,2,4,44,1,2,5,24,1,2,6,35,1,2,7,3,1,2,8,25,1,2,9,3,1,2,10,3,,,,,,,,,,,,,,,,,,,,,,,,
id012,0,0,5,5,0,0,6,11,0,0,7,14,0,2,3,13,0,2,4,73,0,2,5,39,0,2,6,28,0,2,7,23,1,2,3,16,1,2,4,13,1,2,5,10,1,2,6,13,1,2,7,14,1,2,9,8,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id013,0,0,5,11,0,0,6,6,0,0,7,11,0,0,8,3,0,2,3,1,0,2,4,32,0,2,5,25,0,2,6,18,0,2,7,7,0,2,8,13,1,0,4,9,1,0,5,12,1,0,6,9,1,0,7,10,1,0,8,4,1,2,3,11,1,2,4,45,1,2,5,36,1,2,6,32,1,2,7,15,1,2,8,14,1,2,9,11,1,2,10,2,,,,,,,,,,,,,,,,,,,,
id014,0,2,5,14,0,2,6,20,0,2,7,4,0,2,8,13,1,2,4,59,1,2,5,89,1,2,6,34,1,2,7,27,1,2,8,35,1,2,9,13,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id015,0,0,9,3,0,2,6,26,0,2,7,27,0,2,8,24,0,2,9,11,1,0,9,6,1,2,6,57,1,2,7,28,1,2,8,13,1,2,9,26,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id016,0,0,5,1,0,0,6,3,0,0,7,2,0,0,8,7,0,2,5,11,0,2,6,11,0,2,8,9,1,0,4,10,1,0,5,8,1,0,6,13,1,0,8,13,1,2,3,3,1,2,4,58,1,2,5,27,1,2,6,27,1,2,7,18,1,2,8,13,1,2,9,5,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id017,0,2,5,12,0,2,6,68,0,2,7,43,0,2,8,49,0,2,9,2,1,2,5,16,1,2,6,31,1,2,7,25,1,2,8,10,1,2,9,20,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id018,0,0,5,10,0,0,6,11,0,0,7,9,0,0,8,13,0,2,4,20,0,2,5,44,0,2,6,13,0,2,7,9,0,2,8,13,0,2,9,2,1,0,4,2,1,0,5,2,1,2,4,16,1,2,5,14,1,2,6,15,1,2,7,11,1,2,8,7,1,2,9,9,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id019,0,2,4,17,0,2,5,41,0,2,6,14,0,2,7,17,1,2,3,10,1,2,4,58,1,2,5,23,1,2,6,32,1,2,7,24,1,2,9,5,1,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id020,0,0,5,12,0,0,6,27,0,0,7,13,0,0,8,11,0,2,4,19,0,2,5,60,0,2,6,37,0,2,7,10,0,2,8,24,1,0,5,3,1,2,4,2,1,2,5,22,1,2,6,11,1,2,7,4,1,2,8,14,1,2,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id021,0,0,6,2,0,0,7,3,0,0,8,7,0,2,3,8,0,2,4,40,0,2,5,86,0,2,6,55,0,2,7,32,0,2,8,19,0,2,9,3,1,2,5,3,1,2,6,5,1,2,7,2,1,2,8,5,1,2,9,7,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id022,0,0,7,8,0,0,8,10,0,0,9,1,0,2,4,28,0,2,5,76,0,2,6,37,0,2,7,24,0,2,8,22,0,2,9,10,1,2,4,29,1,2,5,16,1,2,6,16,1,2,7,4,1,2,8,19,1,2,9,11,1,2,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id023,1,0,6,3,1,0,7,5,1,0,8,10,1,2,3,7,1,2,4,40,1,2,5,84,1,2,6,56,1,2,7,35,1,2,8,19,1,2,9,12,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id024,0,0,8,3,0,2,5,26,0,2,6,15,0,2,7,21,0,2,8,20,1,0,8,6,1,2,3,4,1,2,4,38,1,2,5,88,1,2,6,38,1,2,7,34,1,2,8,24,1,2,9,12,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id025,0,2,5,15,0,2,6,132,0,2,7,79,0,2,8,50,0,2,9,43,1,2,5,10,1,2,6,13,1,2,7,4,1,2,8,6,1,2,9,9,1,2,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
